site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT,PARINS
CWCBL2,CWC,below,3630,2022,5,6,6,0,0,4.403125,6.2425,0,0,0,2.061875,5.405,0,0,0,2.15625,12.7675,0,0,4.51875,0,0,0,0,0.13875,1.284375,0,0,2.5875,0,0,0,0,0.14875,20.755625,0.13875,0,3.14,0
CWCBL3,CWC,below,3580,2022,1,1,1,0,0,0.178571429,0,0,0,0,0.178571429,0,0,0,0,0,0,0,0,0,0,0,0,0,6.627142857,0,0,0,0,0,0,21.49285714,0,0,0,0,0.178571429,0.559285714,0
CWGBL1,CWG,below,3665,2022,21,25,21 to 25,0,2.308125,4.876875,17.30625,0,0,0,0.17375,4.800625,0,0,0,0.189375,0,0,0,3.574375,0,0,0.15625,18.3775,0,0,0,0,0,1.49375,0,0,0,0,8.385,0,0,1.79,0
CWGBL2,CWG,below,3610,2022,2,2,2,0,0,12.4275,5.33125,0,0,0,1.575,1.20875,0,0.145625,0,0,0,0,0,0,22.851875,3.319375,0.18375,0.503125,0.145625,0,0,0,1.23625,0,0,6.3725,0,1.838125,0,1.1325,0,0,0
CWGBL3,CWG,below,3570,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,59.93125,0,0,0,0,0,0,0,5.888125,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0.834375,4.03625,0,0
ERAL1,ER,above,3710,2023,50,50,> 50,0,0,8.391333333,0,0,0,0,0,21.58066667,0,0,0,0.196,0,0,0,0.196,0,0,0.175333333,0.162666667,0,0.196,0,11.594,0,10.264,0,0,0,0,3.475333333,0,0,0,0
ERAL2,ER,below,3705,2023,40,40,40,0,0,16.989375,0,0,0,4.479375,0,10.15625,0,0,0,0.15625,6.25,0,0,3.7075,0,0,0,1.1775,0,0,0,0,0,6.966875,0,0,0,0,0,0.141875,0,0,0
ERBL1,ER,below,3685,2023,24,25,21 to 25,0,0,0.1525,0.96125,0,0,0,0,1.22,0,0,0,0.30875,0,0,1.14,2.286875,0,0,0,0.30875,0,0,0,0,0,40.185,0,0,0,0,5.27875,0,0,1.07125,0
ERBL2,ER,below,3665,2023,22,25,21 to 25,0,0.568125,0,1.2175,0,0,0,4.97625,11.3675,0,0,0,0,0,0,0.095,0,0,0,0,0.581875,0,0,0,0,0,65.256875,0,0,0,0,0,0,0,0,0
EXAL1,EX,above,3750,2023,50,50,> 50,19.5125,1.19375,0,0,0,0,1.041875,0.164375,2.3475,5.421875,0,0,1.509375,0,0,1.275625,12.365625,0,0,0,0.455625,0,2.1875,0,3.90625,0,6.283125,0,0,6.86,0,0,0,0,0,14.126875
EXAL2,EX,above,3730,2023,50,50,> 50,6.57125,0.56375,0,0,0,0,1.159375,0,8.45125,8.945625,0,0,1.75125,0,0,0,6.71,0,0,0,24.7025,0.164375,0,0,0,0,11.34625,0,0,6.95875,0,0,0,0,0.164375,3.059375
EXBL1,EX,below,3670,2023,22,25,21 to 25,7.692307692,5.281538462,0,1.099230769,0,0,1.125384615,0,17.07461538,0,0,0,0.804615385,0,0,0,3.909230769,0,0,0,1.308461538,0,0,0.590769231,0,0,11.69846154,0,0,4.825384615,0,3.351538462,0,0,0,0
EXBL2,EX,below,3605,2023,3,4,3 to 4,0,0,24.72928571,0,0,0,0.174285714,2.89,4.109285714,0,0,0,0,0,0,0,0,0,0,0,0.162142857,12.53071429,0,0.187857143,0,0,2.823571429,1.29,0,4.425,0,0,3.163571429,0,0.357142857,0
FCAL1,FC,above,3715,2022,50,50,> 50,0,0.476666667,0,0,0,0,0,2.915,33.28,0,0,0,0,0.406666667,0,0,0,0,0,0.438333333,0,0,0,0,10.965,0,0,0,0.966666667,0,0,0,0,0,0.856666667,0
FCAL2,FC,above,3710,2022,50,50,> 50,0,1.85,0,0,0,0,0,44.37,63.64,0,0,0,0,0,15.79,0,1.85,0,0,0,0,118.7,0,72.22,0,0,0,0,0,0,0,30.17,0,2.38,1.45,0
FCBL1,FC,below,3645,2022,11,12,11 to 12,0,4.74125,3.69375,1.66625,0,0,0,0,3.29875,0.2975,0,0,0,0,0,0.2775,7.355,0,0,0,0,0,0,0,0,0,64.61,0,0,0,0,4.34875,0,0,0,0
FCBL2,FC,below,3550,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.402727273,0,0,0,0,34.00636364,0,0,0,0,0,0,1.299090909,0,0,0,0,0,0,0
ICAL1,IC,above,3730,2022,50,50,> 50,0,7.52625,2.604375,2.718125,0,0,0,0,0,0,0,0,0.6025,0,7.4875,0,0,0,0,0,10.521875,0,0,0,31.71125,0,3.03625,0,0,10.845,0,0,0,0,0,6.09125
ICAL2,IC,above,3720,2022,50,50,> 50,0,13.99,20.2375,0,0,0,3.3325,0,11.9025,0,0,0,0,0,0,0,0,0,0,0,4.7625,0,0,69.555,61.95,0,0,0,0,0,0,0,0,0,0,0
ICBL1,IC,below,3665,2022,21,25,21 to 25,0,1.428333333,0.225,11.48583333,0,0,0,0,13.48666667,0,0,0,1.654166667,0,0,0,0,0,0,0,3.603333333,0,0,0,0,0,0,0,0.3975,0,0.238333333,25.78416667,0,0,0,0
ICBL2,IC,below,3645,2022,11,12,11 to 12,0,1.20625,1.74375,4.680625,0,0,0,0,16.46375,1.048125,0,0,19.166875,0,0,0,0,0,0,0,4.453125,0,0,5.66875,0,0.145625,15.834375,0,0.305,0,0,8.021875,0,0,0,0
ICBL3,IC,below,3550,2022,1,1,1,0,0,0.95125,0,0,7.706875,0,0,0,0,0,0,0,0,0,0,0.62375,0,0,0.9375,0,21.630625,0,0,0,0,0,0,6.40625,0,0,4.1975,0,0.871875,3.291875,0
KAL1,K,below,3705,2023,40,40,40,0,0,0,6.258125,0,0,0,0,10.716875,0,0,0,16.621875,0,0,0,0,0,0,0,0.32125,0,0,10.299375,0,0,0,0,0,0,0,3.139375,1.408125,0,1.408125,0
KAL2,K,below,3695,2023,25,25,21 to 25,0,0,0,0,0,0,0,0,4.388125,0,0,0,0,0,0,1.2375,3.4025,0,0,0,1.235625,0,0,11.54875,0,0,53.73125,0,0,0,0,6.21875,0,0,0,0
KBL1,K,below,3665,2023,22,25,21 to 25,0,0.141875,0,4.825,0,0,0,0,4.599375,0,0,0,0,0.96125,0,1.315,1.20375,0,0,0,2.835,0,0,0,0,0,0,0,0,0,0,2.53375,0,0,4.85,0
KBL2,K,below,3620,2023,4,4,3 to 4,0,0,0,9.690625,0,0,0,0,11.2275,0,0,0,0,0,0,0.141875,5.561875,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,5.2375,0,0,0.451875,0
KBL3,K,below,3550,2023,2,2,2,0,0,1.16625,0,0,0,0,0,1.220625,0,0,0,0,0,0,0.1525,5.968125,0,0,0,0,2.1425,0,0,0,0,4.031875,9.44125,3.863125,0,0,18.34875,1.07125,0.53625,0,0
LCAL1,LC,above,3730,2022,50,50,> 50,0,0,1.5425,0,0,0,0,0,6.131875,5.725,0,0,1.041875,0,0,0,0,0,0,0.17375,0,1.07125,0,1.220625,0,0,0,9.805625,0.32625,0,0,15.3,0,0,2.31,0.298125
LCAL2,LC,above,3715,2022,50,50,> 50,0,0,0,9.717,0,0,0,0,0.227,0,0,0,0.477,0,0,0,0,0,0,0,0,1.622,0,3.355,0,1.395,3.62,16.6,0,0,0,0,0,0.233,8.284,0
LCBL1,LC,below,3670,2022,22,25,21 to 25,0,0,13.653125,0,0,0,0,0,8.09375,0,0,0,0.14875,0,0,0,0,0,0,0.294375,0,0,0,1.66875,0,0,2.604375,0,0,0,0,5.050625,0,0.14875,3.298125,0
LCBL2,LC,below,3600,2022,2,2,2,0,0,4.545625,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.16,0,0,1.066875,2.398125,0.164375,0,0.16,0,0,2.805,0,0,0,1.01375,0.16,1.36625,2.07375,3.069375,0
LCBL3,LC,below,3575,2022,1,1,1,0,0,0.164375,0.164375,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,12.200625,1.948125,4.111875,0,0,0,0,2.084375,0,3.781875,0,0.16,0.9375,0,2.405,1.146875,0
MCAL1,MC,above,3790,2022,50,50,> 50,0,0,1.500833333,0,0,0,0,0,0.213333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.015,5.630833333,0,0,0,25.61166667,0,0,0,0
MCAL2,MC,above,3750,2022,50,50,> 50,0,0.162666667,2.086666667,3.492,0,1.052666667,0.185333333,0.162666667,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0.676666667,0,3.419333333,0,0,8.056666667,0,0,0,0,0.162666667,0,0,0.329333333,0
MCBL1,MC,below,3640,2022,11,12,11 to 12,0,0,2.0875,0,0,0,0,0.16,0.14875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48875,0.9975,0,0,0,12.880625,0,0,0.14875,0
MCBL2,MC,below,3600,2022,2,2,2,0,0,5.962307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187692308,0,0,0,0,11.02384615,2.746923077,0,0,0,7.666153846,1.426923077,0.179230769,1.398461538,0
MCBL3,MC,below,3540,2022,1,1,1,0,0,1.979375,0.1525,0,13.194375,0,0,0,0,0,0,0,0,0,0,2.51375,0,0,0,0,2.5225,0,0,0,0,0,0,0.33,0,0,0.96125,0,3.044375,0.1525,0
RBL2,R,below,3640,2022,11,12,11 to 12,0,0,7.726153846,0,0,0,0,0,0.183076923,0,0,0,0,5.839230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24307692,0,0,0.770769231,0
RBL3,R,below,3605,2022,2,2,2,0,0,7.95125,0,0,0,0,0,0,0,0,0,2.0325,0,0,0,0.96125,0,0,0,0,11.18875,0,0,0,0,2.0325,0,0,0,0,0.164375,0,0,0,0
RFCAL1,RFC,above,3715,2022,50,50,> 50,0,0,0,0,0,0,0,0,18.935,0,0,0,0,2.5,0,23.28666667,0,0,0,0,0,0,0,8.333333333,14.605,0,0,0,0,13.29,0,0,0,0,0,0
RFCAL2,RFC,above,3710,2022,50,50,> 50,0,6.29875,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,2.0275,0,0,0,5,0,0,0,0,0,16.705,0,1.78625,0,0,0,0
RFCBL1,RFC,below,3655,2022,11,12,11 to 12,0,2.391875,18.34375,0,0,0,0,0.1525,5.3025,0,0,0.986875,3.939375,0,0,1.41875,3.45375,0,0.14875,0,0.298125,0,0,0,0,0.914375,3.13875,0,0,0,0.914375,11.81625,0,0,0,0
RFCBL2,RFC,below,3615,2022,3,4,3 to 4,0,0,0.15625,0.15625,0,0,14.820625,0,0.164375,0,0,0,1.25375,0,0,2.4775,0.15625,0,5.06,8.769375,0,2.34375,0,0,0,0,0,2.26625,0,0,5.183125,0,0,0,0,0
RFCBL3,RFC,below,3565,2022,1,1,1,0,0,0.17375,1.01375,0,0,0,0,0,0,0.46125,0,0,0,0,0.145625,0,0,0,0,0,5.330625,0,0,0,0,10.97125,17.1775,6.136875,0,0,5.130625,1.81875,1.331875,0,0
SBL1,S,below,3685,2023,24,25,21 to 25,0,0,0,0.14875,0,0,2.53375,0,1.26125,0,0,0,0,0,1.01375,0,0.3375,0,0,0,0,1.01375,0,0,0,0,45.69875,0,0,0,0,0.14875,0.16875,0,0,0
SBL2,S,below,3625,2023,6,6,6,0,0,0.16,6.913125,0,0,0.145625,0.575625,0.13875,0,0,0,0,0,0,0,1.11375,0,0,0,0,0,0,0,0,0,2.1275,0,0,0,0,0,0,0,2.035625,0
SBL3,S,below,3560,2023,2,2,2,0,0.871875,0,4.223125,0,0.14875,0,2.836875,1.876875,0,0,0,0,0,0,0.505,0.260625,0,0.145625,0,0,0.78875,0,0,0,0,2.356875,40.75125,0,0.1275,0,0,1.34375,1.194375,1.543125,0
TAL1,T,above,3725,2023,50,50,> 50,0,0.316875,0,1.12875,0,0,0,0,12.14875,0,0,0,0.30625,4.72125,0.145625,0.141875,0,0,0,0.141875,14.0625,0,0,4.829375,0,0.8525,2.34375,0,0,0,0,0,0,0,0,10.38125
TAL2,T,below,3700,2023,40,40,> 50,0,4.8525,0,0,0,0,0.14875,0,8.4925,0,0,0,0.448125,0,0,0,0.8525,0,0,0,0.986875,0,1.12875,12.635,0,0,4.111875,0,0,0,0,6.155,0,0,0.141875,0
TBL1,T,below,3670,2023,22,25,21 to 25,0,0.141875,14.425625,21.010625,0,0,0,0,1.8725,0,0,0,0.4325,0,0,0,0.45875,0,0,0,2.21125,0,0,0,0,0,24.111875,0,0,0,0,1.103125,0.14875,0,0.141875,0
TBL2,T,below,3630,2023,6,6,6,0,0,10.101875,10.509375,0,0,0,2.231875,6.191875,0,0,0,0,0,0,0,0,0,0,0,0,0.17375,1.041875,0,0,0,1.251875,0,0,0,1.11125,2.34375,0,0,2.633125,0
TBL3,T,below,3560,2023,2,2,2,0,0,5.96625,5.045,0,0,0.893125,0,1.4225,0,0,0,0,0,0,0,1.23375,0,0,0,0,4.94375,0.0825,0,0,0,0,0,2.93625,0,0.16,0.0825,0,0.2875,8.755,0
WAL1,W,above,3830,2023,50,50,> 50,0,0.109375,0,8.05125,0,0,0,0.17375,0.451875,0,0,12.968125,1.11,2.77,0,0,2.791875,0,0,0,0,1.56,0,2.006875,5.44875,0,0.14875,0.14875,0,4.41625,0,0.893125,1.1175,0,0.17875,0
WAL2,W,below,3700,2023,40,40,> 50,0,0,0,16.969375,0,0,0,0,0.4575,0,0,0.16,8.69125,0,0,0,3.2175,0,0,0,1.1825,0,0,12.89,0,0,2.130625,0.16,0,0,0,0,3.619375,0,0,0
WBL1,W,below,3670,2023,22,25,21 to 25,0,0,0,0.9975,0,0,0,0,0.56125,1.770625,0,0,0.164375,0,0,0,0,0,0,0,0.91125,0,0,8.448125,0,0,24.829375,20.961875,0,0,0,14.12,0,0,0.324375,0
WBL2,W,below,3625,2023,6,6,6,0,0.16,0,17.62,0,0,0.14875,0.305625,9.031875,0,0,0,0,0,0,0,0,0,0,0,5.73125,0,0,0,0,0,6.35125,17.595,0,0,0,0.145625,0,0,0.2875,0
WBL3,W,below,3595,2023,3,4,3 to 4,0,0,6.6675,0,0,0.1525,0,0.33125,1.324375,0,0,0,0,0,0,0,0.14875,0,0,4.90875,0,0,0,2.55625,0,0,2.134375,0,3.861875,0.48625,0,8.320625,0,0,2.948125,0
